Country,GDP_2025,GDP_2022,GDP_2023
Kosovo,"12,672","11,149","10,467"
Channel Islands,—,"12,508",—
Mauritania,"11,953","10,767","10,652"
Togo,"10,951","9,926","9,278"
Monaco,—,"9,995","9,995"
New Caledonia,—,"9,623","10,140"
Liechtenstein,"9,424","8,288","7,965"
Montenegro,"9,353","8,070","7,530"
Bermuda,—,"8,980","8,142"
Sierra Leone,"8,639","7,548","6,412"
Maldives,"7,676","6,975","6,591"
Barbados,"7,559","7,165","6,721"
Isle of Man,—,"7,431",—
Cayman Islands,—,"7,139","7,127"
Burundi,"7,025","2,162","3,960"
Guam,—,"6,910",—
French Polynesia,—,"6,402","6,398"
Fiji,"6,336","5,841","5,442"
Eswatini,"5,201","4,892","4,574"
Liberia,"5,182","4,750","5,039"
South Sudan,"4,979",—,"4,629"
U.S. Virgin Islands,—,"4,672",—
Djibouti,"4,613","4,086","4,000"
Suriname,"4,496","4,714","3,759"
Andorra,"4,408","4,040","3,785"
Aruba,"4,319","3,649","3,649"
Faroe Islands,—,"3,907",—
Bhutan,"3,408","3,019","3,019"
Greenland,—,"3,327","3,041"
Central African Republic,"3,300","2,752","2,555"
Belize,"3,297","3,516","3,079"
Curaçao,—,"3,281","3,281"
Cape Verde,"2,915","2,768","2,591"
Saint Lucia,"2,659","2,549","2,430"
Gambia,"2,497","2,508","2,401"
Zanzibar,—,—,"2,483"
Guinea-Bissau,"2,474","2,120","1,841"
Lesotho,"2,390","2,272","2,118"
Antigua and Barbuda,"2,340","2,225","2,033"
Eritrea,—,—,"2,275"
San Marino,"2,241","1,832","1,987"
Seychelles,"2,230","2,167","2,141"
Timor-Leste,"2,125","1,881","2,080"
Solomon Islands,"1,904","1,761","1,633"
Turks and Caicos Islands,—,"1,745","1,402"
Sint Maarten,—,"1,735","1,677"
Comoros,"1,613","1,546","1,448"
British Virgin Islands,—,—,"1,506"
Grenada,"1,458","1,391","1,317"
Samoa,"1,248","1,068","1,032"
Saint Vincent and the Grenadines,"1,238","1,157","1,091"
Saint Kitts and Nevis,"1,141","1,067","1,058"
Vanuatu,"1,119","1,161","1,119"
Northern Mariana Islands,—,"1,096",—
São Tomé and Príncipe,976,764,684
American Samoa,—,871,—
Dominica,748,689,651
Saint Martin,—,649,—
Tonga,587,509,508
Micronesia,495,471,460
Anguilla,—,—,416
Cook Islands,—,—,366
Palau,341,282,282
Kiribati,321,308,289
Marshall Islands,302,280,270
Nauru,172,160,176
Montserrat,—,—,80
Tuvalu,58,62,68
